participant_id,ip_explanation
L427w2,"If I had majority of honest gremlins, I would most likely follow the hint. The more swamp gremlins I had the less I would follow the hint."
A352w2,"High risk, high reward "
Y102w2,If the odds were favorable to me without the hint i wouldnt take it. If i got bad gremlin luck i would not take hint. If the honest gremlin said white and the white gremlin was there I would take the hint
A170w2,"If they were honest gremblins then I trusted that whatever they said was correct, but if there was one of each I added protection because it then wasn't as sure, especially if it was 90% to 10%. "
P173w2,"If the gremlins were honest, then I would take the hint. If they were not, then I did not want to take that chance."
V273w2,"If they are all truth then you don't have to worry. If they are all truth and then 1 black but it says white, you dont have to worry. After that i did mental math to see what was the likelihood one of the liers get drawn and then what percentage of the remaining data would be effected. "
C290w2,"Well for a white ball there's really no penalty to protect it so you would be wasting money to protect it. For a black ball it depends, because if there's a black eyed gremlin paired with a honest gremlin then take you chances with the protection, but if there's a white eyed one paired with a honest gremlin then its false because that would never happen. "
T153w2,I just used math and assigned a value to how much the hints provided help and went from there
H343w2,-99
T127w2,Counting the ratio of white to black dots
Q272w2,I always took the hint from honest gremlins or white only gremlins
F249w2,"I would always choose protection because the risk was too high if i did not choose it. But, if i had to honest gremlins i knew what they said was correct so i would not protect."
X133w2,"I pretty much just kept a basis of what I was willing to lose. If you purchase the informed protection but at too high of a cost, you lose out on key dollars over time. "
G62w2,"If it was 5 honest gremlins + 2 white gremlins and they were saying it was black, I would protect because the only option would be for the honest gremlins to be saying the truth about the ball.  If it was 5 honest gremlins and 2 black gremlins and they claimed the ball was black, I would have less of a certainty getting protection, and would see the actual proportion of the balls. "
K120w2,"I decided to not take the risk for most parts because 25 is a lot better than 10, even if it means you're losing $5"
O412w2,I mostly used my chances of the balls (10% black 90% white) to make my decision and would only accept the hint if it dipped below 90% and have that influence me.
V143w2,I looked at the balls in the drawing pit and used those odds to determine my decisions.
E46w2,All or nothing
T231w2,I used deductive reasoning
L167w2,"Well I knew if it was all honest gremlins they were always correct, if it was all honest and like 1 or 2 black gremlins and i knew if the gremlin said white it had to be white and vice versa because that means the honest gremlin said the color as the other gremlins cannot say each others opposite colors. "
T309w2,I decided to look at the number of white vs black balls to make my main decision.
N105w2,Kinda looking at the eye balls because if it says white then the black gremling cant say that
U70w2,"if they were both honest, i did not protect if they said white because it was white and i did protect if they said black so that i would only lose $5 opposed to $20. with the white and black eyed, i then weighed my likelihood and decided based on the percentage of pulling and the percentage of them telling the truth"
C186w2,"If 2 of the three swamp gremlins were honest, and the other was white, i knew that if a random 1 said white, my chances were 66 percent, but if they said black, my chances were 100 percent"
R397w2,"I took into account the probability that I got an honest hint and then also the probability of the ball being black. If there was a 90% chance of the ball being white, it was a waste of money to buy a hint regardless of the probability of it being honest or not."
D285w2,"The hints don't matter, the question was asking about % likelihood and those numbers were provided."
L401w2,"I saw the gremlins and figured out what they would tell me, the truth, only white, or only black. I decided mostly based on the percentage of the ball actually being black. Because if the ball is most likely going to be white I won't need protection."
J281w2,I mostly paid attention to how many black and white swamp monster things there were compared to the honest ones. If there was only one possible liar in the line up then the chances of not choosing correctly felt lower. 
I130w2,Played it very risky and it paid off
Q298w2,I almost always decided to buy protection because it only cost $5. 
H135w2,I used statistics to calculate whether it was worth it or not. 
I208w2,I used the given probability to decide if a paycut was statistically worth it
D51w2,based on the chances of drawing a black ball and the hint recieved i made my decision
E124w2,Using both the chances of the ball being white and what monsters I had 
C316w2,"If there were enough truths, i would bet more on it being truthful"
K354w2,"I would assume that based off of probability i would get a truthfully dude, the odds were always 5:1 of them not lying so you play the odds"
B191w2,more white balls then black
I364w2,This one was interesting
S314w2,i usually chose to protect if there was 70% chance or less
T283w2,I looked at how many honest ones and non honest ones were accounted for.
N261w2,I used percentage of balls in given box.
V325w2,If there were more truth grimlins i tended to trust my decision more
K406w2,"If both gremlins were truth gremlins I listened, but if one was lying I bought protection for both."
U304w2,"If there were two honest gremlins then I would protect when given a hint that it was a black ball. With the others there was a 5/7 chance that I would get an honest gremlin, I should have protected when it said ""black ball"" in the case with 2 white gremlins. If there was a white and black gremlin I tried to base it off of the probability of actually drawing a white ball. "
W242w2,I looked to see which gremlin was diplayed to determine my answers. If there were more honest gremlins then I would protect or not confidently. But if there were more dishonest gremlines then I would protect or not with doubt.
I78w2,I looked at the probability of the balls colors as well as the types of things giving the hints. I would protect if there was a high chance of the ball being a certain color and if the hint could be false. 
F379w2,I was just looking at what the odds of the black and white balls where and then which kind of gremlins I had then made my decision off that.
M214w2,i decided to use a back and forth decision by buying and not buying protection
K172w2,I kind of just used my best judgement and guessed a little bit.
U200w2,"If the Gremlins were both good hint ones I would not protect. If there was a good hint one and a white one I would protect on the white ball and the black, since the white gremlin can't say black, it would have to be the hint one. I did the same thing but opposite for the black and hint gremlins. "
O126w2,I didn't have much of a strategy honestly I just looked at the goblins and guessed. 
U408w2,"My strategy for informed protection was fairly simple. I would take the hint because in my opinion 25 dollars is better than 10, or the risk of winning 30. I am a bit of a gambling man, but when the white and black eyed gremlins could have been lying about something they said I figured better to take the confirmed money than risk it for more. "
V351w2,I did not get protection if it was likely that I would get a white ball.
A66w2,"Hints that are given from two truthful monsters are valuable so no protection is needed, because I know what they are telling be is the truth (if the ball is white). In all other cases I bought protection no matter what because I didn't want to risk losing a free $25 by simply not buying protection."
Z435w2,"If the gremlins were honest, I never protected, but if there were black or white-eyed gremlins at all, I would protect."
A430w2,I played it safe and bought protection unless I liked the odds of getting a white dot or if I had two truth gremlins.
J307w2,i just went off of the gremlins for each round
D129w2,Just used what are the odds and logical thinking.
K302w2,"I looked at the probabilities, then made my decision based on the gremlins presented."
U434w2,-99
J99w2,If I saw the trust swamp monster I didn't pay for protection.
K328w2,-99
